公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
9S,KD,2S,AC,JS,475,KH,7D,2C,JC,0
TD,JS,3C,2S,7D,127,TS,KD,4H,JD,0
7C,TD,5D,KC,9C,62,3H,9S,7H,9H,0
3H,3S,9D,JC,7D,423,9C,5H,KC,8C,1
7D,6H,5S,AD,7S,115,4C,JD,KS,6C,0
JH,7C,JD,6S,8D,242,4C,3C,KD,QC,0
2C,7C,3S,5C,TC,116,5D,6C,7H,QH,1
4D,9C,AC,QD,3C,445,AD,TH,QS,5S,1
7H,6S,QS,2H,AH,245,TS,9S,9C,6H,0
6C,7S,7C,AS,KS,352,TC,TH,6H,AD,0
8C,5D,5S,9C,TD,66,JS,AD,KC,QS,1
JS,3D,7C,JH,9C,306,JD,8S,7D,QC,1
3H,9S,3D,9H,JC,27,5C,5H,2H,KH,1
8D,6C,6H,JD,TS,217,5S,2C,9S,9H,0
5S,KH,JS,2S,JC,429,8D,9H,JH,8C,0
4C,3S,KH,9H,AC,283,JS,TD,4D,7C,0
2C,6C,AC,3C,QD,354,TC,6H,5C,KS,0
7S,9C,7D,AS,6D,477,QC,3S,9S,7H,0
2S,AS,9S,2D,4C,230,5H,KD,7D,KC,0
QS,TS,5D,KH,8C,219,4S,8H,3S,9S,1
KC,KS,6H,TC,KD,455,7S,9D,JC,KH,0
6C,TC,2H,5H,4D,273,KD,8D,TH,JS,0
7C,3H,4D,2S,KC,68,TD,5S,6C,AS,0
TC,AH,4H,4S,QD,189,KS,6C,4D,KD,0
JD,JH,QH,QS,9H,253,TC,5C,3H,5D,1
QD,5D,9H,3S,JD,363,8C,AH,KH,JS,0
AH,KS,8H,7S,6H,162,7D,6S,6D,3H,1
QD,JH,9H,5D,6S,200,AD,3H,4H,JS,0
5D,AH,QS,5S,2S,265,6C,KD,5C,4S,0
3S,9H,5C,8C,QS,262,9S,3D,6D,AS,1
5C,9D,QC,9S,QS,21,3C,TC,4H,2C,1
8D,9D,5C,TC,QS,210,2S,7D,8H,TH,0
2H,4C,8S,5S,JS,490,3C,TS,7S,JD,0
2C,7S,8S,TC,3H,452,8C,JH,6C,6S,1
6D,AD,QS,KD,6C,334,6S,7S,2D,TC,1
4D,8H,KD,5C,2C,22,3C,5H,TD,3S,1
8C,JH,7C,QC,7D,294,3H,3S,TD,9C,0
5H,JS,3S,3C,AC,368,KH,4C,4H,QD,1
8D,4S,QC,8H,KC,356,QS,JD,KD,JC,0
4C,7D,5S,8S,TC,429,JS,TS,TH,JD,0
7D,2D,6D,4D,AC,185,3H,AS,JD,4C,0
9S,6S,AS,4C,5C,376,3D,AH,JD,QH,1
5S,KS,TD,3D,5C,178,4D,4C,6H,TC,0
QH,5S,8S,QC,7H,491,AD,KS,JD,9S,1
6S,8C,AH,8H,KS,474,TD,TS,9H,TC,1
6C,5S,6D,JS,QC,310,9H,4H,8S,5H,0
2H,JC,9S,7S,5C,78,2C,TS,9C,8D,0
KS,7S,2C,8D,9H,143,3D,JD,2H,9S,0
7D,5H,TD,9H,TC,145,KC,7S,4S,2C,1
4D,6D,KC,KS,7H,242,6H,8C,6S,9S,0
3H,9H,9S,8D,8C,175,8S,5C,2D,QC,1
6D,KC,AC,2D,AD,474,AH,3H,4D,5C,1
2D,5D,9S,AH,QD,108,5S,AC,QC,JH,1
6S,5C,2H,QD,4D,471,KD,7C,TC,KC,0
3H,5S,4D,JH,KC,87,9H,KS,AH,QC,1
7H,8H,JD,9D,8S,436,9S,TC,KH,QC,1
TH,9S,9C,TD,7C,152,9D,QH,3S,KH,1
2S,9S,7D,4D,TC,331,5C,JD,3H,JS,1
2S,8C,QC,8H,5D,177,2H,9C,2C,6C,0
AC,TD,8D,5D,AH,159,6H,QH,5H,2H,0
5C,JC,3C,AC,8C,142,9D,7D,6D,KS,0
KH,5S,7H,JH,4D,205,TS,7S,3S,QD,1
JS,5H,6H,7C,5D,89,3D,2D,TC,4H,0
8S,6C,3S,5H,8D,189,QH,4C,9H,9D,0
4H,6D,7S,5H,8D,294,QD,QC,JD,8S,0
QC,8C,3D,6D,JC,449,7C,AH,JD,2D,0
QC,9C,JS,8H,4D,468,5H,AH,QH,5C,0
6D,7C,6S,7S,8H,371,2H,2D,KD,8C,0
8S,9S,KS,5D,3D,233,6D,TC,6S,QD,0
3S,6C,6H,JH,5C,456,2C,AD,9D,KD,1
5H,8H,9H,AD,2H,448,AH,3C,4H,8C,1
9S,4S,5S,2D,8D,354,JC,3H,KH,AD,0
3D,TC,8C,6S,2C,377,6H,3C,AC,AH,1
8H,TC,AH,3D,7S,283,6S,9H,KH,TD,1
9C,3S,6C,5D,8C,111,7H,4H,3D,TD,1
6C,AD,4S,9C,8S,68,QS,7D,KD,2D,0
TD,8C,QH,6D,3D,33,TC,AH,3S,7S,1
AC,KS,QC,8S,9S,129,8H,7H,9C,2D,0
5D,5S,7H,KC,AC,445,2D,4D,9C,QH,0
5D,5S,5H,3C,9S,214,4D,JS,9H,AD,0
9S,5C,TS,8S,9D,199,KC,9C,6H,AH,1
5D,KS,JD,8C,9H,98,4H,6H,5S,7D,0
TD,3D,7D,AS,4C,34,KD,7C,5S,4H,1
6S,5S,QH,QC,4S,320,8S,KS,3S,AC,1
3S,QS,TS,8D,AH,116,7H,8C,KS,6S,0
9S,AD,QC,8S,KD,280,5D,TS,QH,QD,0
9C,9S,TS,QH,5H,13,6D,3H,4H,QD,0
JS,2H,4S,7H,QS,456,6S,3C,9D,TH,0
3D,7H,8H,5H,3C,94,9C,AS,KH,TD,1
4S,QS,TS,2H,4C,291,6H,9C,TD,9S,0
QS,AC,TS,3S,2D,369,2H,JC,2S,9S,0
JH,KS,9H,KC,AS,357,QS,KH,2C,8D,1
8H,KC,JS,5S,6H,458,3H,7S,7C,TH,0
AH,2H,TC,8D,QD,11,8H,JC,QC,2D,0
TC,TH,JC,3S,7H,382,QC,JS,AH,8H,1
3C,AD,2D,3S,TC,335,2S,6C,KS,2C,0
4D,JC,5D,5C,KD,330,8D,TH,8S,TC,0
AD,6D,6C,8D,QD,63,AC,TC,6H,3S,0
TH,8D,8H,4C,3H,242,JS,2S,4D,AS,0
AD,7C,TS,AS,KD,39,KS,7S,QH,KC,0
