公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
KC,6D,AD,KH,3C,42,QS,5D,5C,8C,1
8S,6D,4S,5H,2C,153,4D,JH,JD,AC,1
5D,QS,9S,4S,5C,129,AS,7H,3S,4D,0
5H,3D,KH,KS,3H,285,TH,6C,JS,5D,0
5H,8S,KD,6S,JH,115,4D,AS,8C,3S,0
9H,5C,KS,7C,7H,419,TC,6C,2D,3D,1
JD,7H,AC,TD,8D,179,8H,4D,QC,5S,1
5S,3D,6H,QD,TD,137,8C,4D,7S,9H,0
9S,3C,QD,6C,6H,105,4H,KD,AS,JD,0
TC,QS,6S,QH,5S,335,9D,KD,TH,3S,0
5C,9S,JS,8S,7C,162,KH,6C,3H,JC,1
6C,4H,9S,JH,AC,251,2C,AD,5H,KS,1
KD,2D,7D,TS,5D,231,QS,8C,AD,3D,0
8H,QH,KD,TH,JD,76,TS,3D,6D,JH,0
2S,6S,JH,5S,KS,352,TD,KH,8S,TS,0
7D,TD,3H,TC,2C,354,7H,6D,4S,QH,1
6C,6D,TH,8C,2C,26,JS,9C,TC,KD,0
QD,TS,5H,KS,QC,178,AH,3H,QS,8D,0
2H,9D,5C,TH,4D,108,4C,8H,5S,6C,0
3C,KH,2S,3H,TC,274,3D,7C,4D,KS,1
4C,KH,6D,JD,6H,176,2S,QS,TC,AC,0
5H,TH,8D,2C,AC,339,KD,QS,3C,2H,0
AS,3D,2D,7S,QH,455,4C,TH,JD,7H,0
TD,TC,6H,KC,3D,133,4S,3S,KS,6D,0
KS,KH,6D,KD,3D,37,5C,4S,4H,QD,0
3D,2S,9D,JS,4C,327,6D,KH,3S,TS,0
3C,6H,9H,QS,JD,422,7D,4S,8H,9S,0
3C,QD,6D,5C,3H,222,2S,8H,8S,9D,0
2C,5D,8H,2S,TD,178,2D,2H,KC,6C,1
JH,9D,3C,6S,8S,258,KH,KD,4D,3D,1
8D,KD,7C,TC,2C,19,2S,QS,AS,QC,1
AS,AD,5C,TD,3S,454,TS,3C,5H,7D,1
5C,8H,AS,2D,2S,204,2H,QD,9C,8S,1
QS,8H,7S,6S,7D,452,QC,AC,4S,7C,0
JC,JH,AH,JS,6D,239,5S,JD,3C,5D,1
7S,3C,KC,AC,TD,68,8H,6H,4C,JS,0
5S,TH,6C,JH,2D,388,KH,4H,JD,TS,0
7D,AS,7S,3S,5S,70,JD,AD,7C,3H,0
5H,6S,JS,AD,9H,43,TS,JD,QC,8S,1
2S,5D,JD,QC,TH,291,QD,AD,4S,JC,1
QH,2D,9C,AH,AS,201,8D,7H,4S,8S,0
9S,JS,JC,AS,2C,462,9H,5H,JD,7D,0
7H,2D,KS,AS,KH,243,TH,3D,3H,AH,0
3C,5H,JH,KC,7D,470,9H,KH,6D,AH,1
6H,3C,2S,5H,8S,132,8D,9H,2C,5S,0
JS,TD,5D,JC,9S,401,2D,5H,8S,4H,1
3S,KC,2H,QS,JS,385,5S,QD,AC,5D,1
6H,AC,7D,9S,KH,324,2C,JD,TS,AS,0
3S,8S,QS,AD,4D,72,9S,TS,KC,8D,1
6S,JH,QH,TH,QC,143,3D,9C,7C,8S,1
TS,6C,QS,KS,5S,100,6H,8H,QC,2D,0
6H,AD,7S,9C,QD,402,JS,6S,QH,QS,0
5H,6C,3S,AD,7D,193,AS,7C,6D,3H,1
9C,QH,AH,2S,2H,380,6C,AD,8D,7C,1
JD,5H,8D,3C,7D,456,2D,4C,AS,7H,0
2S,2D,3S,7H,4D,100,TS,JC,AS,6S,0
JD,AH,QD,AS,6S,256,3C,9H,TH,2C,0
6D,KD,2D,6C,4D,243,7S,TD,KC,3D,0
7C,AC,TS,KC,4H,199,8S,KH,3H,5D,1
4D,KD,5H,AC,7D,118,4H,8H,8C,2S,1
AD,7C,QS,3S,AC,355,8S,KD,6D,2S,1
5S,9C,6C,7D,TC,339,KD,7C,TD,8D,0
TH,6C,9C,2C,2S,352,5D,2H,TC,KC,0
KC,QH,KD,4H,QS,394,JH,3D,KS,AS,0
QH,5H,KS,4C,JS,270,6S,8D,8S,2D,1
AD,9D,5S,8S,KS,407,4S,2C,5H,JS,0
JS,7C,9C,9D,6H,246,9H,5D,QS,TH,1
KD,3S,TD,2D,4H,444,AH,6D,7H,4S,0
8D,7S,3C,9D,6H,190,TH,5H,KH,4H,1
4H,JS,QS,TS,TH,186,3C,2H,KC,KS,0
8C,8H,QC,JD,3D,153,8S,3C,5D,KH,1
5D,8S,9S,4C,JH,23,7H,KS,3C,5S,0
4C,4S,7C,8C,TD,54,9C,9S,3C,5S,1
3C,2S,TD,AD,4C,306,KS,4S,5H,KC,0
4H,5C,7C,6D,3S,125,8S,6H,TD,3D,1
4S,9D,6S,2S,TH,486,3S,KC,6C,5C,0
4D,4S,8C,9C,3C,464,3D,QS,3H,2H,1
4S,AS,AC,AD,3H,122,2D,8H,JS,7C,0
4D,AC,7D,JH,7H,464,JS,2H,4H,8D,1
6H,3D,2C,6S,3S,327,TS,4C,7D,AH,0
3H,7S,QS,KH,7D,279,5S,4S,TC,5D,0
4C,QD,JC,4H,TD,371,AC,JH,3H,KH,1
KH,3S,AD,6C,8C,138,TD,JS,3H,7D,0
JS,2H,5C,AH,AS,30,7S,9D,3H,TS,0
QS,JC,KS,JS,KC,289,KH,QC,3C,2S,1
2S,QH,6D,3C,3H,456,3S,3D,TD,AH,1
2S,9S,TH,8D,5C,311,8C,2H,4C,3D,1
AD,5H,8S,QC,3D,209,9D,AC,JH,6S,1
5C,7S,9D,5H,6S,407,JS,QD,2H,AH,0
AC,7H,9S,2H,3H,119,5H,4S,6H,4D,1
KC,3S,KD,4C,4D,431,JH,AD,5C,2S,1
3S,5C,AS,8S,JC,170,JH,2D,9C,JS,0
TC,2S,QS,6D,AD,493,3H,QH,7H,JH,1
5C,QC,TS,JC,9S,187,5D,8C,2H,6S,1
4D,5C,AS,KD,6S,50,9D,AH,QH,2S,1
9C,5C,7H,QD,KD,419,JC,5S,KC,3S,0
3D,9C,4S,JC,6C,415,9S,TC,JH,AS,0
2C,QC,5H,8D,5D,296,AS,8S,3D,KD,1
9C,9H,7D,JD,6H,305,4S,7C,9S,AC,0
7H,3S,4D,2C,5H,246,AS,5C,AD,4C,0
